map_id,judul,label,genre
1,Surat Cinta - Vina Panduwinata,Bahagia,Pop
2,"Ya Sudahlah - Bondan Prakoso, Fade2Black",Bahagia,Pop / Rock
3,Kenangan Terindah - SAMSONS,Sedih,Pop / Rock
4,Salam Rindu - Tipe-X,Bahagia,Pop
5,I Love U Bibeh - The Changcuters,Bahagia,Pop / Rock
6,"Tetap Semangat - Bondan Prakoso, Fade2Black",Bahagia,Pop
7,Semua Tentang Kita - Peterpan,Sedih,Indie / Pop
8,Aku Cinta Dia - Chrisye,Bahagia,Pop
9,Fortune Cookie yang Mencinta - JKT48,Bahagia,Pop
10,Butiran Debu - Rumor,Sedih,Pop / Rock
11,Selamat Jalan - Tipe-X,Sedih,Pop / Rock
12,Menghujam Jantungku - Tompi,Bahagia,Soul / Pop
13,Kamu Ngga Sendirian - Tipe-X,Bahagia,Indie / Rock
14,Pergilah Kasih - Chrisye,Marah,Pop
15,Manusia Bodoh - Ada Band,Sedih,Pop / Rock
16,Haruskah Ku Mati - Ada Band,Sedih,Pop / Rock
17,Saat Bahagia - Ungu,Bahagia,Pop
18,Yang Terlewatkan - Sheila On 7,Sedih,Pop / Rock
19,Dekat di Hati - RAN,Bahagia,Jazz / Pop
20,Dia Milikku - Yovie & Nuno,Marah,Pop
21,Bumi dan Bulan - HiVi!,Sedih,Jazz / Pop
22,"C.H.R.I.S.Y.E. - Diskoria, Laleilmanino, Eva Celia",Sedih,Pop
23,"Berpisah Itu Mudah - Rizky Febian, Mikha Tambayong",Sedih,Pop
24,Panah Asmara - Afgan,Bahagia,Pop
25,Bertaut - Nadin Amizah,Bahagia,"Pop, Alternative/Indie"
26,"Serenata Jiwa Lara - Laleilmanino, Dian Sastrowardoyo",Sedih,Pop
27,Rapsodi - JKT48,Bahagia,Pop
28,Tutur Batin - Yura Yunita,Marah,"Pop, Alternative/Indie"
29,Galih dan Ratna - Chrisye,Bahagia,Pop
30,Peri Cintaku - Ziva Magnolya,Takut,Pop
31,Seberang - Reza Darmawangsa,Sedih,Pop
32,Kau Rumahku - Raissa Anggiani,Bahagia,Pop
33,Akhir Tak Bahagia - Misellia,Sedih,Pop
34,Takkan Kemana - The Overtunes,Bahagia,Pop
35,Pedih - Last Child,Sedih,Pop Rock
36,Hanya Rindu - Andmesh,Sedih,Pop
37,Dia Dia Dia - Fatin,Sedih,Pop
38,Aku Bukan Jodohnya - Tri Suaka,Sedih,Pop Rock
